Timestamp, Stream1, Stream2, Stream3, Stream4, Overall, Truth
[2016-07-05 20:01:55.255], False, False, False, False, False, False
[2016-07-05 20:01:55.369], False, False, False, False, False, False
[2016-07-05 20:01:55.512], False, False, False, False, False, False
[2016-07-05 20:01:55.622], False, False, False, False, False, False
[2016-07-05 20:01:55.732], False, False, False, False, False, False
[2016-07-05 20:01:55.879], False, False, False, False, False, False
[2016-07-05 20:01:55.990], False, False, False, False, False, False
[2016-07-05 20:01:56.100], False, False, False, False, False, False
[2016-07-05 20:01:56.247], False, False, False, False, False, False
[2016-07-05 20:01:56.357], False, False, False, False, False, False
[2016-07-05 20:01:56.467], False, False, False, False, False, False
[2016-07-05 20:01:56.614], False, False, False, False, False, False
[2016-07-05 20:01:56.725], False, False, False, False, False, False
[2016-07-05 20:01:56.835], False, False, False, False, False, False
[2016-07-05 20:01:56.982], False, False, False, False, False, False
[2016-07-05 20:01:57.092], False, False, False, False, False, False
[2016-07-05 20:01:57.202], False, False, False, False, False, False
[2016-07-05 20:01:57.350], False, False, False, False, False, False
[2016-07-05 20:01:57.460], False, False, False, False, False, False
[2016-07-05 20:01:57.570], False, False, False, False, False, False
[2016-07-05 20:01:57.717], False, False, False, False, False, False
[2016-07-05 20:01:57.827], False, False, False, False, False, False
[2016-07-05 20:01:57.937], False, False, False, False, False, False
[2016-07-05 20:01:58.085], False, False, False, False, False, False
[2016-07-05 20:01:58.195], False, False, False, False, False, False
[2016-07-05 20:01:58.305], False, False, False, False, False, False
[2016-07-05 20:01:58.452], False, False, False, False, False, False
[2016-07-05 20:01:58.562], False, False, False, False, False, False
[2016-07-05 20:01:58.672], False, False, False, False, False, False
[2016-07-05 20:01:58.819], False, False, False, False, False, False
[2016-07-05 20:01:58.930], False, False, False, False, False, False
[2016-07-05 20:01:59.040], False, False, False, False, False, False
[2016-07-05 20:01:59.187], False, False, False, False, False, False
[2016-07-05 20:01:59.297], False, False, False, False, False, False
[2016-07-05 20:01:59.407], False, False, False, False, False, False
[2016-07-05 20:01:59.555], False, False, False, False, False, False
[2016-07-05 20:01:59.665], False, False, False, False, False, False
[2016-07-05 20:01:59.775], False, False, False, False, False, False
[2016-07-05 20:01:59.922], False, False, False, False, False, False
[2016-07-05 20:02:00.032], False, False, False, False, False, False
[2016-07-05 20:02:00.143], False, False, False, False, False, False
[2016-07-05 20:02:00.289], False, False, False, False, False, False
[2016-07-05 20:02:00.400], False, False, False, False, False, False
